"plot","coldate","taxa","count","no.intersections","perc.cover","location","block","treatment","year"
"B1C",2016-07-18,"LUNO",8,36,0.222222222222222,"Border",1,"Control",2016
"B1C",2016-07-18,"MOSS",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"BARE",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"RASP",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"SALA",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"SAPH",6,36,0.166666666666667,"Border",1,"Control",2016
"B1C",2016-07-18,"SIAC",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"TARA",0,36,0,"Border",1,"Control",2016
"B1C",2016-07-18,"VAUL",10,36,0.277777777777778,"Border",1,"Control",2016
"B1C",2018-08-03,"ACMI",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"BAAL",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"BENA",6,36,0.166666666666667,"Border",1,"Control",2018
"B1C",2018-08-03,"BEPU",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"BIVI",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"CAVU",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"EMNI",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"EQUI",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"GAVE",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"GRASS",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"JUCO",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"LICH",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"LUNO",20,36,0.555555555555556,"Border",1,"Control",2018
"B1C",2018-08-03,"MOSS",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"BARE",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"RASP",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"SALA",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"SAPH",6,36,0.166666666666667,"Border",1,"Control",2018
"B1C",2018-08-03,"SIAC",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"TARA",0,36,0,"Border",1,"Control",2018
"B1C",2018-08-03,"VAUL",4,36,0.111111111111111,"Border",1,"Control",2018
"B1K",2013-07-25,"ACMI",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"BAAL",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"BENA",6,25,0.24,"Border",1,"KNO3",2013
"B1K",2013-07-25,"BEPU",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"BIVI",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"CAVU",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"EMNI",1,25,0.04,"Border",1,"KNO3",2013
"B1K",2013-07-25,"EQUI",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"GAVE",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"GRASS",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"JUCO",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"LICH",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"LUNO",8,25,0.32,"Border",1,"KNO3",2013
"B1K",2013-07-25,"MOSS",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"BARE",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"RASP",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"SALA",1,25,0.04,"Border",1,"KNO3",2013
"B1K",2013-07-25,"SAPH",5,25,0.2,"Border",1,"KNO3",2013
"B1K",2013-07-25,"SIAC",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"TARA",0,25,0,"Border",1,"KNO3",2013
"B1K",2013-07-25,"VAUL",4,25,0.16,"Border",1,"KNO3",2013
"B1K",2014-07-21,"ACMI",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"BAAL",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"BENA",6,36,0.166666666666667,"Border",1,"KNO3",2014
"B1K",2014-07-21,"BEPU",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"BIVI",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"CAVU",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"EMNI",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"EQUI",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"GAVE",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"GRASS",5,36,0.138888888888889,"Border",1,"KNO3",2014
"B1K",2014-07-21,"JUCO",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"LICH",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"LUNO",10,36,0.277777777777778,"Border",1,"KNO3",2014
"B1K",2014-07-21,"MOSS",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"BARE",1,36,0.0277777777777778,"Border",1,"KNO3",2014
"B1K",2014-07-21,"RASP",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"SALA",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"SAPH",11,36,0.305555555555556,"Border",1,"KNO3",2014
"B1K",2014-07-21,"SIAC",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"TARA",0,36,0,"Border",1,"KNO3",2014
"B1K",2014-07-21,"VAUL",3,36,0.0833333333333333,"Border",1,"KNO3",2014
"B1K",2016-07-18,"ACMI",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"BAAL",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"BENA",7,36,0.194444444444444,"Border",1,"KNO3",2016
"B1K",2016-07-18,"BEPU",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"BIVI",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"CAVU",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"EMNI",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"EQUI",1,36,0.0277777777777778,"Border",1,"KNO3",2016
"B1K",2016-07-18,"GAVE",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"GRASS",5,36,0.138888888888889,"Border",1,"KNO3",2016
"B1K",2016-07-18,"JUCO",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"LICH",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"LUNO",9,36,0.25,"Border",1,"KNO3",2016
"B1K",2016-07-18,"MOSS",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"BARE",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"RASP",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"SALA",1,36,0.0277777777777778,"Border",1,"KNO3",2016
"B1K",2016-07-18,"SAPH",10,36,0.277777777777778,"Border",1,"KNO3",2016
"B1K",2016-07-18,"SIAC",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"TARA",0,36,0,"Border",1,"KNO3",2016
"B1K",2016-07-18,"VAUL",3,36,0.0833333333333333,"Border",1,"KNO3",2016
"B1K",2018-08-03,"ACMI",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"BAAL",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"BENA",7,36,0.194444444444444,"Border",1,"KNO3",2018
"B1K",2018-08-03,"BEPU",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"BIVI",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"CAVU",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"EMNI",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"EQUI",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"GAVE",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"GRASS",3,36,0.0833333333333333,"Border",1,"KNO3",2018
"B1K",2018-08-03,"JUCO",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"LICH",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"LUNO",5,36,0.138888888888889,"Border",1,"KNO3",2018
"B1K",2018-08-03,"MOSS",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"BARE",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"RASP",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"SALA",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"SAPH",21,36,0.583333333333333,"Border",1,"KNO3",2018
"B1K",2018-08-03,"SIAC",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"TARA",0,36,0,"Border",1,"KNO3",2018
"B1K",2018-08-03,"VAUL",0,36,0,"Border",1,"KNO3",2018
"B1M",2013-07-25,"ACMI",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"BAAL",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"BENA",6,25,0.24,"Border",1,"Midges",2013
"B1M",2013-07-25,"BEPU",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"BIVI",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"CAVU",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"EMNI",2,25,0.08,"Border",1,"Midges",2013
"B1M",2013-07-25,"EQUI",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"GAVE",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"GRASS",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"JUCO",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"LICH",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"LUNO",5,25,0.2,"Border",1,"Midges",2013
"B1M",2013-07-25,"MOSS",1,25,0.04,"Border",1,"Midges",2013
"B1M",2013-07-25,"BARE",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"RASP",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"SALA",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"SAPH",4,25,0.16,"Border",1,"Midges",2013
"B1M",2013-07-25,"SIAC",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"TARA",0,25,0,"Border",1,"Midges",2013
"B1M",2013-07-25,"VAUL",7,25,0.28,"Border",1,"Midges",2013
"B1M",2014-07-21,"ACMI",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"BAAL",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"BENA",3,36,0.0833333333333333,"Border",1,"Midges",2014
"B1M",2014-07-21,"BEPU",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"BIVI",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"CAVU",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"EMNI",4,36,0.111111111111111,"Border",1,"Midges",2014
"B1M",2014-07-21,"EQUI",2,36,0.0555555555555556,"Border",1,"Midges",2014
"B1M",2014-07-21,"GAVE",2,36,0.0555555555555556,"Border",1,"Midges",2014
"B1M",2014-07-21,"GRASS",8,36,0.222222222222222,"Border",1,"Midges",2014
"B1M",2014-07-21,"JUCO",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"LICH",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"LUNO",7,36,0.194444444444444,"Border",1,"Midges",2014
"B1M",2014-07-21,"MOSS",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"BARE",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"RASP",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"SALA",1,36,0.0277777777777778,"Border",1,"Midges",2014
"B1M",2014-07-21,"SAPH",3,36,0.0833333333333333,"Border",1,"Midges",2014
"B1M",2014-07-21,"SIAC",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"TARA",0,36,0,"Border",1,"Midges",2014
"B1M",2014-07-21,"VAUL",6,36,0.166666666666667,"Border",1,"Midges",2014
"B1M",2016-07-18,"ACMI",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"BAAL",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"BENA",2,36,0.0555555555555556,"Border",1,"Midges",2016
"B1M",2016-07-18,"BEPU",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"BIVI",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"CAVU",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"EMNI",1,36,0.0277777777777778,"Border",1,"Midges",2016
"B1M",2016-07-18,"EQUI",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"GAVE",1,36,0.0277777777777778,"Border",1,"Midges",2016
"B1M",2016-07-18,"GRASS",16,36,0.444444444444444,"Border",1,"Midges",2016
"B1M",2016-07-18,"JUCO",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"LICH",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"LUNO",4,36,0.111111111111111,"Border",1,"Midges",2016
"B1M",2016-07-18,"MOSS",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"BARE",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"RASP",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"SALA",1,36,0.0277777777777778,"Border",1,"Midges",2016
"B1M",2016-07-18,"SAPH",2,36,0.0555555555555556,"Border",1,"Midges",2016
"B1M",2016-07-18,"SIAC",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"TARA",0,36,0,"Border",1,"Midges",2016
"B1M",2016-07-18,"VAUL",9,36,0.25,"Border",1,"Midges",2016
"B1M",2018-08-03,"ACMI",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"BAAL",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"BENA",1,36,0.0277777777777778,"Border",1,"Midges",2018
"B1M",2018-08-03,"BEPU",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"BIVI",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"CAVU",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"EMNI",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"EQUI",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"GAVE",1,36,0.0277777777777778,"Border",1,"Midges",2018
"B1M",2018-08-03,"GRASS",30,36,0.833333333333333,"Border",1,"Midges",2018
"B1M",2018-08-03,"JUCO",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"LICH",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"LUNO",2,36,0.0555555555555556,"Border",1,"Midges",2018
"B1M",2018-08-03,"MOSS",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"BARE",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"RASP",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"SALA",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"SAPH",2,36,0.0555555555555556,"Border",1,"Midges",2018
"B1M",2018-08-03,"SIAC",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"TARA",0,36,0,"Border",1,"Midges",2018
"B1M",2018-08-03,"VAUL",0,36,0,"Border",1,"Midges",2018
"B2C",2013-07-25,"ACMI",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"BAAL",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"BENA",8,25,0.32,"Border",2,"Control",2013
"B2C",2013-07-25,"BEPU",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"BIVI",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"CAVU",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"EMNI",2,25,0.08,"Border",2,"Control",2013
"B2C",2013-07-25,"EQUI",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"GAVE",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"GRASS",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"JUCO",2,25,0.08,"Border",2,"Control",2013
"B2C",2013-07-25,"LICH",1,25,0.04,"Border",2,"Control",2013
"B2C",2013-07-25,"LUNO",6,25,0.24,"Border",2,"Control",2013
"B2C",2013-07-25,"MOSS",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"BARE",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"RASP",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"SALA",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"SAPH",2,25,0.08,"Border",2,"Control",2013
"B2C",2013-07-25,"SIAC",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"TARA",0,25,0,"Border",2,"Control",2013
"B2C",2013-07-25,"VAUL",4,25,0.16,"Border",2,"Control",2013
"B2C",2014-07-21,"ACMI",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"BAAL",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"BENA",7,36,0.194444444444444,"Border",2,"Control",2014
"B2C",2014-07-21,"BEPU",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"BIVI",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"CAVU",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"EMNI",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"EQUI",1,36,0.0277777777777778,"Border",2,"Control",2014
"B2C",2014-07-21,"GAVE",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"GRASS",1,36,0.0277777777777778,"Border",2,"Control",2014
"B2C",2014-07-21,"JUCO",1,36,0.0277777777777778,"Border",2,"Control",2014
"B2C",2014-07-21,"LICH",2,36,0.0555555555555556,"Border",2,"Control",2014
"B2C",2014-07-21,"LUNO",11,36,0.305555555555556,"Border",2,"Control",2014
"B2C",2014-07-21,"MOSS",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"BARE",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"RASP",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"SALA",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"SAPH",6,36,0.166666666666667,"Border",2,"Control",2014
"B2C",2014-07-21,"SIAC",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"TARA",0,36,0,"Border",2,"Control",2014
"B2C",2014-07-21,"VAUL",7,36,0.194444444444444,"Border",2,"Control",2014
"B2C",2016-07-18,"ACMI",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"BAAL",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"BENA",6,36,0.166666666666667,"Border",2,"Control",2016
"B2C",2016-07-18,"BEPU",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"BIVI",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"CAVU",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"EMNI",2,36,0.0555555555555556,"Border",2,"Control",2016
"B2C",2016-07-18,"EQUI",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"GAVE",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"GRASS",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"JUCO",1,36,0.0277777777777778,"Border",2,"Control",2016
"B2C",2016-07-18,"LICH",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"LUNO",11,36,0.305555555555556,"Border",2,"Control",2016
"B2C",2016-07-18,"MOSS",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"BARE",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"RASP",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"SALA",1,36,0.0277777777777778,"Border",2,"Control",2016
"B2C",2016-07-18,"SAPH",10,36,0.277777777777778,"Border",2,"Control",2016
"B2C",2016-07-18,"SIAC",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"TARA",0,36,0,"Border",2,"Control",2016
"B2C",2016-07-18,"VAUL",5,36,0.138888888888889,"Border",2,"Control",2016
"B2C",2018-08-03,"ACMI",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"BAAL",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"BENA",8,36,0.222222222222222,"Border",2,"Control",2018
"B2C",2018-08-03,"BEPU",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"BIVI",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"CAVU",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"EMNI",1,36,0.0277777777777778,"Border",2,"Control",2018
"B2C",2018-08-03,"EQUI",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"GAVE",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"GRASS",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"JUCO",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"LICH",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"LUNO",3,36,0.0833333333333333,"Border",2,"Control",2018
"B2C",2018-08-03,"MOSS",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"BARE",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"RASP",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"SALA",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"SAPH",17,36,0.472222222222222,"Border",2,"Control",2018
"B2C",2018-08-03,"SIAC",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"TARA",0,36,0,"Border",2,"Control",2018
"B2C",2018-08-03,"VAUL",7,36,0.194444444444444,"Border",2,"Control",2018
"B2K",2013-07-25,"ACMI",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"BAAL",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"BENA",11,25,0.44,"Border",2,"KNO3",2013
"B2K",2013-07-25,"BEPU",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"BIVI",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"CAVU",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"EMNI",3,25,0.12,"Border",2,"KNO3",2013
"B2K",2013-07-25,"EQUI",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"GAVE",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"GRASS",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"JUCO",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"LICH",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"LUNO",7,25,0.28,"Border",2,"KNO3",2013
"B2K",2013-07-25,"MOSS",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"BARE",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"RASP",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"SALA",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"SAPH",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"SIAC",0,25,0,"Border",2,"KNO3",2013
"B2K",2013-07-25,"TARA",0,25,0,"Border",2,"KNO3",2013
